# This is ionized PAHs from DL (2007)
# nsize (number of sampled sizes in this file
# sizes (microns)
# n_size = 30 
#    3.0000E-04  3.3056E-04  3.6424E-04  4.0135E-04  4.4223E-04  4.8729E-04  5.3693E-04  5.9163E-04  6.5190E-04  7.1832E-04  7.9150E-04  8.7213E-04  9.6098E-04  1.0589E-03  1.1668E-03  1.2856E-03  1.4166E-03  1.5609E-03  1.7199E-03  1.8951E-03  2.0882E-03  2.3010E-03  2.5354E-03  2.7937E-03  3.0783E-03  3.3919E-03  3.7374E-03  4.1182E-03  4.5377E-03  5.0000E-03
#
# Index=	   0  radius=   0.0003000000
# Radius 	 Lambda 	 Qabs 	 Qext 
3.0000e-04 6.2785e-01 1.9906e-05 1.9906e-05 
3.0000e-04 6.3816e-01 1.9228e-05 1.9228e-05 
3.0000e-04 6.4864e-01 1.8596e-05 1.8596e-05 
3.0000e-04 6.5930e-01 1.8001e-05 1.8001e-05 
3.0000e-04 6.7013e-01 1.7444e-05 1.7444e-05 
3.0000e-04 6.8113e-01 1.6919e-05 1.6919e-05 
3.0000e-04 6.9232e-01 1.6417e-05 1.6417e-05 
3.0000e-04 7.0369e-01 1.5939e-05 1.5939e-05 
3.0000e-04 7.1525e-01 1.5484e-05 1.5484e-05 
3.0000e-04 7.2700e-01 1.5049e-05 1.5049e-05 
3.0000e-04 7.3894e-01 1.4628e-05 1.4628e-05 
3.0000e-04 7.5108e-01 1.4226e-05 1.4226e-05 
3.0000e-04 7.6342e-01 1.3839e-05 1.3839e-05 
3.0000e-04 7.7596e-01 1.3462e-05 1.3462e-05 
3.0000e-04 7.8870e-01 1.3097e-05 1.3097e-05 
3.0000e-04 8.0166e-01 1.2746e-05 1.2746e-05 
3.0000e-04 8.1483e-01 1.2404e-05 1.2404e-05 
3.0000e-04 8.2821e-01 1.2071e-05 1.2071e-05 
3.0000e-04 8.4181e-01 1.1749e-05 1.1749e-05 
3.0000e-04 8.5564e-01 1.1437e-05 1.1437e-05 
3.0000e-04 8.6970e-01 1.1132e-05 1.1132e-05 
3.0000e-04 8.8398e-01 1.0836e-05 1.0836e-05 
3.0000e-04 8.9850e-01 1.0549e-05 1.0549e-05 
3.0000e-04 9.1326e-01 1.0269e-05 1.0269e-05 
3.0000e-04 9.2826e-01 9.9965e-06 9.9965e-06 
3.0000e-04 9.4351e-01 9.7317e-06 9.7317e-06 
3.0000e-04 9.5901e-01 9.4748e-06 9.4748e-06 
3.0000e-04 9.7476e-01 9.2253e-06 9.2253e-06 
3.0000e-04 9.9077e-01 8.9829e-06 8.9829e-06 
3.0000e-04 1.0070e+00 8.7486e-06 8.7486e-06 
3.0000e-04 1.0236e+00 8.5190e-06 8.5190e-06 
3.0000e-04 1.0404e+00 8.2982e-06 8.2982e-06 
3.0000e-04 1.0575e+00 8.0835e-06 8.0835e-06 
3.0000e-04 1.0749e+00 7.8743e-06 7.8743e-06 
3.0000e-04 1.0925e+00 7.6725e-06 7.6725e-06 
3.0000e-04 1.1105e+00 7.4752e-06 7.4752e-06 
3.0000e-04 1.1287e+00 7.2841e-06 7.2841e-06 
3.0000e-04 1.1472e+00 7.0986e-06 7.0986e-06 
3.0000e-04 1.1661e+00 6.9183e-06 6.9183e-06 
3.0000e-04 1.1852e+00 6.7437e-06 6.7437e-06 
3.0000e-04 1.2047e+00 6.5731e-06 6.5731e-06 
3.0000e-04 1.2245e+00 6.4081e-06 6.4081e-06 
3.0000e-04 1.2446e+00 6.2479e-06 6.2479e-06 
3.0000e-04 1.2651e+00 6.0913e-06 6.0913e-06 
3.0000e-04 1.2858e+00 5.9401e-06 5.9401e-06 
3.0000e-04 1.3070e+00 5.7917e-06 5.7917e-06 
3.0000e-04 1.3284e+00 5.6482e-06 5.6482e-06 
3.0000e-04 1.3502e+00 5.5077e-06 5.5077e-06 
3.0000e-04 1.3724e+00 5.3711e-06 5.3711e-06 
3.0000e-04 1.3950e+00 5.2378e-06 5.2378e-06 
3.0000e-04 1.4179e+00 5.1081e-06 5.1081e-06 
3.0000e-04 1.4412e+00 4.9821e-06 4.9821e-06 
3.0000e-04 1.4648e+00 4.8602e-06 4.8602e-06 
3.0000e-04 1.4889e+00 4.7407e-06 4.7407e-06 
3.0000e-04 1.5134e+00 4.6242e-06 4.6242e-06 
3.0000e-04 1.5382e+00 4.5118e-06 4.5118e-06 
3.0000e-04 1.5635e+00 4.4019e-06 4.4019e-06 
3.0000e-04 1.5892e+00 4.2949e-06 4.2949e-06 
3.0000e-04 1.6153e+00 4.1913e-06 4.1913e-06 
3.0000e-04 1.6418e+00 4.0909e-06 4.0909e-06 
3.0000e-04 1.6688e+00 3.9929e-06 3.9929e-06 
3.0000e-04 1.6962e+00 3.8974e-06 3.8974e-06 
3.0000e-04 1.7240e+00 3.8048e-06 3.8048e-06 
3.0000e-04 1.7524e+00 3.7140e-06 3.7140e-06 
3.0000e-04 1.7811e+00 3.6259e-06 3.6259e-06 
3.0000e-04 1.8104e+00 3.5399e-06 3.5399e-06 
3.0000e-04 1.8401e+00 3.4564e-06 3.4564e-06 
3.0000e-04 1.8704e+00 3.3748e-06 3.3748e-06 
3.0000e-04 1.9011e+00 3.2955e-06 3.2955e-06 
3.0000e-04 1.9323e+00 3.2186e-06 3.2186e-06 
3.0000e-04 1.9641e+00 3.1435e-06 3.1435e-06 
3.0000e-04 1.9963e+00 3.0708e-06 3.0708e-06 
3.0000e-04 2.0291e+00 3.0000e-06 3.0000e-06 
3.0000e-04 2.0624e+00 2.9313e-06 2.9313e-06 
3.0000e-04 2.0963e+00 2.8646e-06 2.8646e-06 
3.0000e-04 2.1307e+00 2.7999e-06 2.7999e-06 
3.0000e-04 2.1657e+00 2.7370e-06 2.7370e-06 
3.0000e-04 2.2013e+00 2.6758e-06 2.6758e-06 
3.0000e-04 2.2375e+00 2.6168e-06 2.6168e-06 
3.0000e-04 2.2742e+00 2.5602e-06 2.5602e-06 
3.0000e-04 2.3116e+00 2.5059e-06 2.5059e-06 
3.0000e-04 2.3496e+00 2.4537e-06 2.4537e-06 
3.0000e-04 2.3881e+00 2.4038e-06 2.4038e-06 
3.0000e-04 2.4274e+00 2.3565e-06 2.3565e-06 
3.0000e-04 2.4672e+00 2.3118e-06 2.3118e-06 
3.0000e-04 2.5078e+00 2.2696e-06 2.2696e-06 
3.0000e-04 2.5490e+00 2.2300e-06 2.2300e-06 
3.0000e-04 2.5908e+00 2.1935e-06 2.1935e-06 
3.0000e-04 2.6334e+00 2.1608e-06 2.1608e-06 
3.0000e-04 2.6766e+00 2.1329e-06 2.1329e-06 
3.0000e-04 2.7206e+00 2.1106e-06 2.1106e-06 
3.0000e-04 2.7653e+00 2.0960e-06 2.0960e-06 
3.0000e-04 2.8107e+00 2.0919e-06 2.0919e-06 
3.0000e-04 2.8569e+00 2.1029e-06 2.1029e-06 
3.0000e-04 2.9038e+00 2.1360e-06 2.1360e-06 
3.0000e-04 2.9515e+00 2.2044e-06 2.2044e-06 
3.0000e-04 3.0000e+00 2.3331e-06 2.3331e-06 
3.0000e-04 3.0159e+00 2.3952e-06 2.3952e-06 
3.0000e-04 3.0320e+00 2.4725e-06 2.4725e-06 
3.0000e-04 3.0481e+00 2.5675e-06 2.5675e-06 
3.0000e-04 3.0643e+00 2.6861e-06 2.6861e-06 
3.0000e-04 3.0806e+00 2.8360e-06 2.8360e-06 
3.0000e-04 3.0969e+00 3.0263e-06 3.0263e-06 
3.0000e-04 3.1134e+00 3.2751e-06 3.2751e-06 
3.0000e-04 3.1300e+00 3.6051e-06 3.6051e-06 
3.0000e-04 3.1466e+00 4.0507e-06 4.0507e-06 
3.0000e-04 3.1633e+00 4.6739e-06 4.6739e-06 
3.0000e-04 3.1801e+00 5.5795e-06 5.5795e-06 
3.0000e-04 3.1970e+00 6.9615e-06 6.9615e-06 
3.0000e-04 3.2140e+00 9.2097e-06 9.2097e-06 
3.0000e-04 3.2311e+00 1.3198e-05 1.3198e-05 
3.0000e-04 3.2483e+00 2.1170e-05 2.1170e-05 
3.0000e-04 3.2655e+00 3.9761e-05 3.9761e-05 
3.0000e-04 3.2829e+00 9.0382e-05 9.0382e-05 
3.0000e-04 3.3003e+00 1.5695e-04 1.5695e-04 
3.0000e-04 3.3179e+00 8.7269e-05 8.7269e-05 
3.0000e-04 3.3355e+00 3.8697e-05 3.8697e-05 
3.0000e-04 3.3532e+00 2.0682e-05 2.0682e-05 
3.0000e-04 3.3711e+00 1.2903e-05 1.2903e-05 
3.0000e-04 3.3890e+00 9.0023e-06 9.0023e-06 
3.0000e-04 3.4070e+00 6.7822e-06 6.7822e-06 
3.0000e-04 3.4251e+00 5.4048e-06 5.4048e-06 
3.0000e-04 3.4433e+00 4.4931e-06 4.4931e-06 
3.0000e-04 3.4616e+00 3.8584e-06 3.8584e-06 
3.0000e-04 3.4800e+00 3.3986e-06 3.3986e-06 
3.0000e-04 3.4985e+00 3.0544e-06 3.0544e-06 
3.0000e-04 3.5171e+00 2.7896e-06 2.7896e-06 
3.0000e-04 3.5358e+00 2.5812e-06 2.5812e-06 
3.0000e-04 3.5546e+00 2.4140e-06 2.4140e-06 
3.0000e-04 3.5735e+00 2.2774e-06 2.2774e-06 
3.0000e-04 3.5925e+00 2.1642e-06 2.1642e-06 
3.0000e-04 3.6115e+00 2.0695e-06 2.0695e-06 
3.0000e-04 3.6307e+00 1.9885e-06 1.9885e-06 
3.0000e-04 3.6500e+00 1.9190e-06 1.9190e-06 
3.0000e-04 3.6694e+00 1.8586e-06 1.8586e-06 
3.0000e-04 3.6889e+00 1.8058e-06 1.8058e-06 
3.0000e-04 3.7085e+00 1.7593e-06 1.7593e-06 
3.0000e-04 3.7283e+00 1.7177e-06 1.7177e-06 
3.0000e-04 3.7481e+00 1.6807e-06 1.6807e-06 
3.0000e-04 3.7680e+00 1.6476e-06 1.6476e-06 
3.0000e-04 3.7880e+00 1.6176e-06 1.6176e-06 
