U=1.000 
ngas=6.000e+06 (cm-3) 
mean_lam=1.300 (um) 
gamma=0.700 
amax=2.500 (um) 
dust_composition=astro 
! 
Av= 0.000,14.796,41.154,221.104,10886.093
! 
NH= 0.00000e+00,2.14542e+22,5.96732e+22,3.20601e+23,1.57848e+25
! 
w	 p(Av=0.000)	 I(Av=0.000)	 p(Av=14.796)	 I(Av=14.796)	 p(Av=41.154)	 I(Av=41.154)	 p(Av=221.104)	 I(Av=221.104)	 p(Av=10886.093)	 I(Av=10886.093)
4.624e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
4.677e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
4.732e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
4.786e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
4.842e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
4.898e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
4.954e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
5.012e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
5.070e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
5.129e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
5.188e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
5.248e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
5.309e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
5.370e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
5.433e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
5.495e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
5.559e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
5.623e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
5.688e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
5.754e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
5.821e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
5.888e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
5.957e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
6.026e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
6.095e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
6.166e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
6.237e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
6.310e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
6.383e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
6.457e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
6.531e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
6.607e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
6.683e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
6.761e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
6.839e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
6.918e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
6.998e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
7.079e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
7.161e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
7.244e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
7.328e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
7.413e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
7.499e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
7.586e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
7.674e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
7.763e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
7.852e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
7.943e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
8.035e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
8.128e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
8.222e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
8.318e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
8.414e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
8.511e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
8.610e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
8.710e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
8.810e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
8.913e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
9.016e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
9.120e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
9.226e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
9.333e-01	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 0.000e+00	 nan	 nan	 
