U=1.000 
ngas=6.000e+06 (cm-3) 
mean_lam=1.300 (um) 
gamma=0.700 
amax=2.500 (um) 
dust_composition=astro 
! 
Av= 0.000,14.796,41.154,221.104,10886.093
! 
NH= 0.00000e+00,2.14542e+22,5.96732e+22,3.20601e+23,1.57848e+25
! 
w	 p(Av=0.000)	 p(Av=14.796)	 p(Av=41.154)	 p(Av=221.104)	 p(Av=10886.093)
7.674e+01	 -2.068e+01	 3.582e-01	 9.030e-01	 1.728e+00	 nan	 
7.762e+01	 -2.018e+01	 3.496e-01	 8.811e-01	 1.685e+00	 nan	 
7.852e+01	 -1.968e+01	 3.409e-01	 8.590e-01	 1.642e+00	 nan	 
7.943e+01	 -1.920e+01	 3.325e-01	 8.377e-01	 1.601e+00	 nan	 
8.035e+01	 -1.873e+01	 3.244e-01	 8.172e-01	 1.561e+00	 nan	 
8.128e+01	 -1.827e+01	 3.164e-01	 7.969e-01	 1.521e+00	 nan	 
8.222e+01	 -1.783e+01	 3.087e-01	 7.776e-01	 1.484e+00	 nan	 
8.318e+01	 -1.738e+01	 3.010e-01	 7.581e-01	 1.446e+00	 nan	 
8.414e+01	 -1.696e+01	 2.938e-01	 7.397e-01	 1.410e+00	 nan	 
8.511e+01	 -1.655e+01	 2.866e-01	 7.216e-01	 1.375e+00	 nan	 
8.610e+01	 -1.615e+01	 2.797e-01	 7.041e-01	 1.341e+00	 nan	 
8.710e+01	 -1.576e+01	 2.729e-01	 6.869e-01	 1.308e+00	 nan	 
8.811e+01	 -1.538e+01	 2.663e-01	 6.701e-01	 1.276e+00	 nan	 
8.912e+01	 -1.501e+01	 2.599e-01	 6.539e-01	 1.244e+00	 nan	 
9.016e+01	 -1.466e+01	 2.537e-01	 6.383e-01	 1.214e+00	 nan	 
9.120e+01	 -1.430e+01	 2.475e-01	 6.227e-01	 1.184e+00	 nan	 
9.226e+01	 -1.395e+01	 2.415e-01	 6.076e-01	 1.155e+00	 nan	 
9.332e+01	 -1.362e+01	 2.358e-01	 5.931e-01	 1.127e+00	 nan	 
9.441e+01	 -1.329e+01	 2.301e-01	 5.787e-01	 1.099e+00	 nan	 
9.550e+01	 -1.298e+01	 2.246e-01	 5.649e-01	 1.073e+00	 nan	 
9.661e+01	 -1.267e+01	 2.193e-01	 5.515e-01	 1.047e+00	 nan	 
9.772e+01	 -1.237e+01	 2.140e-01	 5.381e-01	 1.021e+00	 nan	 
9.886e+01	 -1.207e+01	 2.089e-01	 5.253e-01	 9.966e-01	 nan	 
1.000e+02	 -1.179e+01	 2.040e-01	 5.128e-01	 9.726e-01	 nan	 
1.012e+02	 -1.151e+01	 1.992e-01	 5.007e-01	 9.493e-01	 nan	 
1.023e+02	 -1.124e+01	 1.945e-01	 4.888e-01	 9.265e-01	 nan	 
1.035e+02	 -1.097e+01	 1.899e-01	 4.772e-01	 9.043e-01	 nan	 
1.047e+02	 -1.071e+01	 1.854e-01	 4.658e-01	 8.825e-01	 nan	 
1.059e+02	 -1.046e+01	 1.810e-01	 4.548e-01	 8.613e-01	 nan	 
1.072e+02	 -1.021e+01	 1.767e-01	 4.440e-01	 8.407e-01	 nan	 
1.084e+02	 -9.973e+00	 1.726e-01	 4.335e-01	 8.206e-01	 nan	 
1.097e+02	 -9.745e+00	 1.686e-01	 4.235e-01	 8.015e-01	 nan	 
1.109e+02	 -9.516e+00	 1.646e-01	 4.136e-01	 7.825e-01	 nan	 
1.122e+02	 -9.290e+00	 1.607e-01	 4.037e-01	 7.636e-01	 nan	 
1.135e+02	 -9.071e+00	 1.569e-01	 3.941e-01	 7.453e-01	 nan	 
1.148e+02	 -8.865e+00	 1.533e-01	 3.851e-01	 7.281e-01	 nan	 
1.161e+02	 -8.655e+00	 1.497e-01	 3.760e-01	 7.107e-01	 nan	 
1.175e+02	 -8.458e+00	 1.463e-01	 3.674e-01	 6.943e-01	 nan	 
1.188e+02	 -8.260e+00	 1.429e-01	 3.588e-01	 6.778e-01	 nan	 
1.202e+02	 -8.071e+00	 1.396e-01	 3.505e-01	 6.621e-01	 nan	 
1.216e+02	 -7.880e+00	 1.363e-01	 3.422e-01	 6.462e-01	 nan	 
1.230e+02	 -7.702e+00	 1.332e-01	 3.344e-01	 6.314e-01	 nan	 
1.244e+02	 -7.525e+00	 1.302e-01	 3.267e-01	 6.168e-01	 nan	 
1.259e+02	 -7.350e+00	 1.271e-01	 3.191e-01	 6.022e-01	 nan	 
1.273e+02	 -7.182e+00	 1.242e-01	 3.118e-01	 5.883e-01	 nan	 
1.288e+02	 -7.017e+00	 1.214e-01	 3.046e-01	 5.747e-01	 nan	 
1.303e+02	 -6.857e+00	 1.186e-01	 2.976e-01	 5.613e-01	 nan	 
1.318e+02	 -6.698e+00	 1.158e-01	 2.907e-01	 5.482e-01	 nan	 
1.334e+02	 -6.546e+00	 1.132e-01	 2.841e-01	 5.356e-01	 nan	 
1.349e+02	 -6.397e+00	 1.106e-01	 2.776e-01	 5.233e-01	 nan	 
1.365e+02	 -6.252e+00	 1.081e-01	 2.713e-01	 5.114e-01	 nan	 
1.380e+02	 -6.111e+00	 1.057e-01	 2.652e-01	 4.997e-01	 nan	 
1.396e+02	 -5.972e+00	 1.033e-01	 2.591e-01	 4.882e-01	 nan	 
1.412e+02	 -5.836e+00	 1.009e-01	 2.532e-01	 4.770e-01	 nan	 
1.429e+02	 -5.705e+00	 9.864e-02	 2.475e-01	 4.662e-01	 nan	 
1.445e+02	 -5.576e+00	 9.641e-02	 2.418e-01	 4.555e-01	 nan	 
1.462e+02	 -5.450e+00	 9.423e-02	 2.364e-01	 4.451e-01	 nan	 
1.479e+02	 -5.327e+00	 9.211e-02	 2.310e-01	 4.350e-01	 nan	 
1.496e+02	 -5.207e+00	 9.002e-02	 2.258e-01	 4.251e-01	 nan	 
1.514e+02	 -5.090e+00	 8.800e-02	 2.207e-01	 4.155e-01	 nan	 
1.531e+02	 -4.975e+00	 8.601e-02	 2.157e-01	 4.060e-01	 nan	 
1.549e+02	 -4.864e+00	 8.409e-02	 2.109e-01	 3.969e-01	 nan	 
1.567e+02	 -4.754e+00	 8.219e-02	 2.061e-01	 3.879e-01	 nan	 
1.585e+02	 -4.648e+00	 8.036e-02	 2.015e-01	 3.792e-01	 nan	 
1.603e+02	 -4.547e+00	 7.860e-02	 1.971e-01	 3.708e-01	 nan	 
1.622e+02	 -4.444e+00	 7.683e-02	 1.927e-01	 3.624e-01	 nan	 
1.641e+02	 -4.345e+00	 7.511e-02	 1.883e-01	 3.542e-01	 nan	 
1.660e+02	 -4.249e+00	 7.345e-02	 1.842e-01	 3.463e-01	 nan	 
1.679e+02	 -4.153e+00	 7.180e-02	 1.800e-01	 3.385e-01	 nan	 
1.698e+02	 -4.064e+00	 7.025e-02	 1.761e-01	 3.311e-01	 nan	 
1.718e+02	 -3.972e+00	 6.866e-02	 1.722e-01	 3.236e-01	 nan	 
1.738e+02	 -3.883e+00	 6.713e-02	 1.683e-01	 3.164e-01	 nan	 
1.758e+02	 -3.798e+00	 6.565e-02	 1.646e-01	 3.093e-01	 nan	 
1.778e+02	 -3.716e+00	 6.423e-02	 1.610e-01	 3.026e-01	 nan	 
1.799e+02	 -3.633e+00	 6.280e-02	 1.574e-01	 2.958e-01	 nan	 
1.820e+02	 -3.553e+00	 6.142e-02	 1.540e-01	 2.893e-01	 nan	 
1.841e+02	 -3.476e+00	 6.009e-02	 1.506e-01	 2.830e-01	 nan	 
1.862e+02	 -3.399e+00	 5.875e-02	 1.473e-01	 2.767e-01	 nan	 
1.884e+02	 -3.324e+00	 5.746e-02	 1.440e-01	 2.706e-01	 nan	 
1.906e+02	 -3.253e+00	 5.622e-02	 1.409e-01	 2.647e-01	 nan	 
1.928e+02	 -3.181e+00	 5.499e-02	 1.378e-01	 2.589e-01	 nan	 
1.950e+02	 -3.111e+00	 5.378e-02	 1.348e-01	 2.531e-01	 nan	 
1.972e+02	 -3.044e+00	 5.262e-02	 1.319e-01	 2.476e-01	 nan	 
1.995e+02	 -2.978e+00	 5.147e-02	 1.290e-01	 2.422e-01	 nan	 
2.018e+02	 -2.913e+00	 5.034e-02	 1.262e-01	 2.369e-01	 nan	 
2.042e+02	 -2.850e+00	 4.926e-02	 1.235e-01	 2.318e-01	 nan	 
2.065e+02	 -2.788e+00	 4.819e-02	 1.208e-01	 2.267e-01	 nan	 
2.089e+02	 -2.729e+00	 4.716e-02	 1.182e-01	 2.218e-01	 nan	 
2.114e+02	 -2.669e+00	 4.613e-02	 1.156e-01	 2.169e-01	 nan	 
2.138e+02	 -2.612e+00	 4.515e-02	 1.131e-01	 2.123e-01	 nan	 
2.163e+02	 -2.555e+00	 4.417e-02	 1.107e-01	 2.077e-01	 nan	 
2.188e+02	 -2.500e+00	 4.320e-02	 1.082e-01	 2.031e-01	 nan	 
2.213e+02	 -2.447e+00	 4.229e-02	 1.060e-01	 1.988e-01	 nan	 
2.239e+02	 -2.394e+00	 4.137e-02	 1.037e-01	 1.945e-01	 nan	 
2.265e+02	 -2.343e+00	 4.049e-02	 1.015e-01	 1.903e-01	 nan	 
2.291e+02	 -2.293e+00	 3.962e-02	 9.928e-02	 1.862e-01	 nan	 
2.317e+02	 -2.245e+00	 3.879e-02	 9.720e-02	 1.823e-01	 nan	 
2.344e+02	 -2.196e+00	 3.795e-02	 9.508e-02	 1.784e-01	 nan	 
2.371e+02	 -2.149e+00	 3.714e-02	 9.306e-02	 1.745e-01	 nan	 
2.399e+02	 -2.103e+00	 3.635e-02	 9.107e-02	 1.708e-01	 nan	 
2.427e+02	 -2.059e+00	 3.558e-02	 8.915e-02	 1.672e-01	 nan	 
2.455e+02	 -2.015e+00	 3.483e-02	 8.726e-02	 1.636e-01	 nan	 
2.483e+02	 -1.973e+00	 3.409e-02	 8.541e-02	 1.602e-01	 nan	 
2.512e+02	 -1.931e+00	 3.336e-02	 8.358e-02	 1.567e-01	 nan	 
2.541e+02	 -1.890e+00	 3.266e-02	 8.182e-02	 1.534e-01	 nan	 
2.570e+02	 -1.850e+00	 3.197e-02	 8.010e-02	 1.502e-01	 nan	 
2.600e+02	 -1.811e+00	 3.130e-02	 7.841e-02	 1.470e-01	 nan	 
2.630e+02	 -1.773e+00	 3.063e-02	 7.674e-02	 1.439e-01	 nan	 
2.661e+02	 -1.736e+00	 2.999e-02	 7.513e-02	 1.409e-01	 nan	 
2.691e+02	 -1.699e+00	 2.937e-02	 7.356e-02	 1.379e-01	 nan	 
2.723e+02	 -1.663e+00	 2.875e-02	 7.201e-02	 1.350e-01	 nan	 
2.754e+02	 -1.629e+00	 2.815e-02	 7.052e-02	 1.322e-01	 nan	 
2.786e+02	 -1.594e+00	 2.755e-02	 6.902e-02	 1.294e-01	 nan	 
2.818e+02	 -1.562e+00	 2.699e-02	 6.762e-02	 1.267e-01	 nan	 
2.851e+02	 -1.529e+00	 2.643e-02	 6.620e-02	 1.241e-01	 nan	 
2.884e+02	 -1.497e+00	 2.587e-02	 6.480e-02	 1.214e-01	 nan	 
2.917e+02	 -1.465e+00	 2.532e-02	 6.344e-02	 1.189e-01	 nan	 
2.951e+02	 -1.436e+00	 2.481e-02	 6.214e-02	 1.165e-01	 nan	 
2.985e+02	 -1.405e+00	 2.428e-02	 6.082e-02	 1.140e-01	 nan	 
3.020e+02	 -1.377e+00	 2.379e-02	 5.959e-02	 1.117e-01	 nan	 
3.055e+02	 -1.349e+00	 2.330e-02	 5.837e-02	 1.094e-01	 nan	 
3.090e+02	 -1.320e+00	 2.281e-02	 5.713e-02	 1.071e-01	 nan	 
3.126e+02	 -1.293e+00	 2.235e-02	 5.598e-02	 1.049e-01	 nan	 
3.162e+02	 -1.266e+00	 2.188e-02	 5.479e-02	 1.027e-01	 nan	 
3.199e+02	 -1.240e+00	 2.144e-02	 5.369e-02	 1.006e-01	 nan	 
3.236e+02	 -1.214e+00	 2.099e-02	 5.256e-02	 9.848e-02	 nan	 
3.273e+02	 -1.190e+00	 2.056e-02	 5.149e-02	 9.648e-02	 nan	 
3.311e+02	 -1.166e+00	 2.015e-02	 5.046e-02	 9.454e-02	 nan	 
3.350e+02	 -1.142e+00	 1.973e-02	 4.942e-02	 9.258e-02	 nan	 
3.388e+02	 -1.118e+00	 1.933e-02	 4.840e-02	 9.067e-02	 nan	 
3.428e+02	 -1.095e+00	 1.892e-02	 4.740e-02	 8.878e-02	 nan	 
3.467e+02	 -1.074e+00	 1.855e-02	 4.647e-02	 8.705e-02	 nan	 
3.508e+02	 -1.052e+00	 1.817e-02	 4.551e-02	 8.526e-02	 nan	 
3.548e+02	 -1.030e+00	 1.780e-02	 4.459e-02	 8.352e-02	 nan	 
3.589e+02	 -1.009e+00	 1.744e-02	 4.367e-02	 8.180e-02	 nan	 
3.631e+02	 -9.884e-01	 1.708e-02	 4.278e-02	 8.012e-02	 nan	 
3.673e+02	 -9.686e-01	 1.674e-02	 4.191e-02	 7.850e-02	 nan	 
3.715e+02	 -9.495e-01	 1.641e-02	 4.109e-02	 7.695e-02	 nan	 
3.758e+02	 -9.299e-01	 1.607e-02	 4.024e-02	 7.537e-02	 nan	 
3.802e+02	 -9.115e-01	 1.575e-02	 3.944e-02	 7.387e-02	 nan	 
3.846e+02	 -8.924e-01	 1.542e-02	 3.862e-02	 7.232e-02	 nan	 
3.890e+02	 -8.747e-01	 1.511e-02	 3.785e-02	 7.088e-02	 nan	 
3.935e+02	 -8.573e-01	 1.481e-02	 3.709e-02	 6.947e-02	 nan	 
3.981e+02	 -8.401e-01	 1.452e-02	 3.635e-02	 6.808e-02	 nan	 
4.027e+02	 -8.234e-01	 1.423e-02	 3.563e-02	 6.672e-02	 nan	 
4.074e+02	 -8.068e-01	 1.394e-02	 3.491e-02	 6.537e-02	 nan	 
4.121e+02	 -7.910e-01	 1.367e-02	 3.423e-02	 6.409e-02	 nan	 
4.169e+02	 -7.749e-01	 1.339e-02	 3.353e-02	 6.279e-02	 nan	 
4.217e+02	 -7.591e-01	 1.312e-02	 3.285e-02	 6.150e-02	 nan	 
4.266e+02	 -7.447e-01	 1.287e-02	 3.222e-02	 6.034e-02	 nan	 
4.315e+02	 -7.298e-01	 1.261e-02	 3.158e-02	 5.913e-02	 nan	 
4.365e+02	 -7.149e-01	 1.235e-02	 3.093e-02	 5.792e-02	 nan	 
4.416e+02	 -7.010e-01	 1.211e-02	 3.033e-02	 5.679e-02	 nan	 
4.467e+02	 -6.871e-01	 1.187e-02	 2.973e-02	 5.567e-02	 nan	 
4.519e+02	 -6.736e-01	 1.164e-02	 2.915e-02	 5.457e-02	 nan	 
4.571e+02	 -6.605e-01	 1.141e-02	 2.858e-02	 5.351e-02	 nan	 
4.624e+02	 -6.471e-01	 1.118e-02	 2.800e-02	 5.242e-02	 nan	 
4.677e+02	 -6.344e-01	 1.096e-02	 2.745e-02	 5.139e-02	 nan	 
4.731e+02	 -6.223e-01	 1.075e-02	 2.692e-02	 5.040e-02	 nan	 
4.786e+02	 -6.096e-01	 1.053e-02	 2.638e-02	 4.938e-02	 nan	 
4.842e+02	 -5.979e-01	 1.033e-02	 2.587e-02	 4.843e-02	 nan	 
4.898e+02	 -5.861e-01	 1.013e-02	 2.536e-02	 4.747e-02	 nan	 
4.955e+02	 -5.748e-01	 9.931e-03	 2.487e-02	 4.656e-02	 nan	 
5.012e+02	 -5.637e-01	 9.739e-03	 2.439e-02	 4.565e-02	 nan	 
5.070e+02	 -5.524e-01	 9.544e-03	 2.390e-02	 4.474e-02	 nan	 
5.129e+02	 -5.417e-01	 9.359e-03	 2.344e-02	 4.388e-02	 nan	 
5.188e+02	 -5.314e-01	 9.181e-03	 2.299e-02	 4.304e-02	 nan	 
5.248e+02	 -5.207e-01	 8.996e-03	 2.253e-02	 4.217e-02	 nan	 
5.309e+02	 -5.108e-01	 8.825e-03	 2.210e-02	 4.137e-02	 nan	 
5.370e+02	 -5.011e-01	 8.658e-03	 2.168e-02	 4.058e-02	 nan	 
5.432e+02	 -4.912e-01	 8.487e-03	 2.125e-02	 3.978e-02	 nan	 
5.495e+02	 -4.819e-01	 8.326e-03	 2.085e-02	 3.903e-02	 nan	 
5.559e+02	 -4.724e-01	 8.162e-03	 2.044e-02	 3.826e-02	 nan	 
5.623e+02	 -4.633e-01	 8.005e-03	 2.004e-02	 3.752e-02	 nan	 
5.688e+02	 -4.546e-01	 7.855e-03	 1.967e-02	 3.682e-02	 nan	 
5.754e+02	 -4.456e-01	 7.700e-03	 1.928e-02	 3.609e-02	 nan	 
5.821e+02	 -4.373e-01	 7.556e-03	 1.892e-02	 3.542e-02	 nan	 
5.888e+02	 -4.288e-01	 7.409e-03	 1.855e-02	 3.473e-02	 nan	 
5.957e+02	 -4.205e-01	 7.266e-03	 1.819e-02	 3.405e-02	 nan	 
6.026e+02	 -4.126e-01	 7.129e-03	 1.785e-02	 3.341e-02	 nan	 
6.095e+02	 -4.048e-01	 6.995e-03	 1.751e-02	 3.278e-02	 nan	 
6.166e+02	 -3.970e-01	 6.859e-03	 1.717e-02	 3.215e-02	 nan	 
6.237e+02	 -3.894e-01	 6.729e-03	 1.685e-02	 3.153e-02	 nan	 
6.310e+02	 -3.821e-01	 6.601e-03	 1.653e-02	 3.094e-02	 nan	 
6.383e+02	 -3.749e-01	 6.477e-03	 1.622e-02	 3.035e-02	 nan	 
6.457e+02	 -3.677e-01	 6.353e-03	 1.591e-02	 2.977e-02	 nan	 
6.531e+02	 -3.610e-01	 6.237e-03	 1.562e-02	 2.923e-02	 nan	 
6.607e+02	 -3.538e-01	 6.114e-03	 1.531e-02	 2.865e-02	 nan	 
6.683e+02	 -3.473e-01	 6.001e-03	 1.503e-02	 2.812e-02	 nan	 
6.761e+02	 -3.407e-01	 5.887e-03	 1.474e-02	 2.758e-02	 nan	 
6.839e+02	 -3.344e-01	 5.778e-03	 1.447e-02	 2.708e-02	 nan	 
6.918e+02	 -3.282e-01	 5.670e-03	 1.420e-02	 2.657e-02	 nan	 
6.998e+02	 -3.218e-01	 5.561e-03	 1.392e-02	 2.606e-02	 nan	 
7.080e+02	 -3.158e-01	 5.457e-03	 1.366e-02	 2.557e-02	 nan	 
7.161e+02	 -3.099e-01	 5.355e-03	 1.341e-02	 2.509e-02	 nan	 
7.244e+02	 -3.042e-01	 5.256e-03	 1.316e-02	 2.463e-02	 nan	 
7.328e+02	 -2.985e-01	 5.157e-03	 1.291e-02	 2.417e-02	 nan	 
7.413e+02	 -2.931e-01	 5.064e-03	 1.268e-02	 2.373e-02	 nan	 
7.499e+02	 -2.874e-01	 4.965e-03	 1.243e-02	 2.327e-02	 nan	 
7.586e+02	 -2.822e-01	 4.876e-03	 1.221e-02	 2.285e-02	 nan	 
7.674e+02	 -2.771e-01	 4.788e-03	 1.199e-02	 2.243e-02	 nan	 
7.762e+02	 -2.719e-01	 4.698e-03	 1.176e-02	 2.201e-02	 nan	 
7.852e+02	 -2.667e-01	 4.608e-03	 1.154e-02	 2.159e-02	 nan	 
7.943e+02	 -2.618e-01	 4.524e-03	 1.133e-02	 2.120e-02	 nan	 
8.035e+02	 -2.569e-01	 4.439e-03	 1.111e-02	 2.080e-02	 nan	 
8.128e+02	 -2.524e-01	 4.360e-03	 1.092e-02	 2.043e-02	 nan	 
8.222e+02	 -2.477e-01	 4.280e-03	 1.072e-02	 2.006e-02	 nan	 
8.318e+02	 -2.431e-01	 4.200e-03	 1.052e-02	 1.968e-02	 nan	 
8.414e+02	 -2.387e-01	 4.125e-03	 1.033e-02	 1.933e-02	 nan	 
8.511e+02	 -2.344e-01	 4.050e-03	 1.014e-02	 1.898e-02	 nan	 
8.610e+02	 -2.300e-01	 3.974e-03	 9.949e-03	 1.862e-02	 nan	 
8.710e+02	 -2.258e-01	 3.902e-03	 9.769e-03	 1.828e-02	 nan	 
8.810e+02	 -2.218e-01	 3.832e-03	 9.594e-03	 1.795e-02	 nan	 
8.912e+02	 -2.177e-01	 3.761e-03	 9.416e-03	 1.762e-02	 nan	 
9.016e+02	 -2.137e-01	 3.693e-03	 9.246e-03	 1.730e-02	 nan	 
9.120e+02	 -2.099e-01	 3.627e-03	 9.081e-03	 1.699e-02	 nan	 
9.226e+02	 -2.060e-01	 3.559e-03	 8.912e-03	 1.668e-02	 nan	 
9.333e+02	 -2.023e-01	 3.496e-03	 8.753e-03	 1.638e-02	 nan	 
9.441e+02	 -1.987e-01	 3.433e-03	 8.596e-03	 1.609e-02	 nan	 
9.550e+02	 -1.951e-01	 3.370e-03	 8.439e-03	 1.579e-02	 nan	 
9.660e+02	 -1.916e-01	 3.310e-03	 8.287e-03	 1.551e-02	 nan	 
9.772e+02	 -1.882e-01	 3.251e-03	 8.140e-03	 1.523e-02	 nan	 
9.885e+02	 -1.847e-01	 3.192e-03	 7.991e-03	 1.495e-02	 nan	 
1.000e+03	 -1.815e-01	 3.135e-03	 7.850e-03	 1.469e-02	 nan	 
1.012e+03	 -1.782e-01	 3.079e-03	 7.710e-03	 1.443e-02	 nan	 
1.023e+03	 -1.750e-01	 3.023e-03	 7.569e-03	 1.416e-02	 nan	 
1.035e+03	 -1.719e-01	 2.970e-03	 7.435e-03	 1.391e-02	 nan	 
1.047e+03	 -1.688e-01	 2.917e-03	 7.304e-03	 1.367e-02	 nan	 
1.059e+03	 -1.658e-01	 2.864e-03	 7.171e-03	 1.342e-02	 nan	 
1.072e+03	 -1.629e-01	 2.814e-03	 7.045e-03	 1.318e-02	 nan	 
1.084e+03	 -1.600e-01	 2.764e-03	 6.921e-03	 1.295e-02	 nan	 
1.096e+03	 -1.571e-01	 2.714e-03	 6.796e-03	 1.272e-02	 nan	 
1.109e+03	 -1.543e-01	 2.667e-03	 6.677e-03	 1.249e-02	 nan	 
1.122e+03	 -1.516e-01	 2.620e-03	 6.560e-03	 1.227e-02	 nan	 
1.135e+03	 -1.489e-01	 2.573e-03	 6.442e-03	 1.205e-02	 nan	 
1.148e+03	 -1.463e-01	 2.528e-03	 6.330e-03	 1.185e-02	 nan	 
1.161e+03	 -1.438e-01	 2.484e-03	 6.220e-03	 1.164e-02	 nan	 
1.175e+03	 -1.412e-01	 2.440e-03	 6.108e-03	 1.143e-02	 nan	 
1.188e+03	 -1.387e-01	 2.397e-03	 6.001e-03	 1.123e-02	 nan	 
1.202e+03	 -1.363e-01	 2.356e-03	 5.898e-03	 1.104e-02	 nan	 
1.216e+03	 -1.339e-01	 2.313e-03	 5.792e-03	 1.084e-02	 nan	 
1.230e+03	 -1.316e-01	 2.274e-03	 5.693e-03	 1.065e-02	 nan	 
1.244e+03	 -1.293e-01	 2.234e-03	 5.594e-03	 1.047e-02	 nan	 
1.259e+03	 -1.270e-01	 2.194e-03	 5.494e-03	 1.028e-02	 nan	 
1.274e+03	 -1.248e-01	 2.157e-03	 5.399e-03	 1.010e-02	 nan	 
1.288e+03	 -1.227e-01	 2.120e-03	 5.307e-03	 9.931e-03	 nan	 
1.303e+03	 -1.205e-01	 2.082e-03	 5.213e-03	 9.755e-03	 nan	 
1.318e+03	 -1.184e-01	 2.046e-03	 5.123e-03	 9.586e-03	 nan	 
1.334e+03	 -1.164e-01	 2.012e-03	 5.036e-03	 9.424e-03	 nan	 
1.349e+03	 -1.144e-01	 1.976e-03	 4.948e-03	 9.258e-03	 nan	 
1.365e+03	 -1.124e-01	 1.942e-03	 4.863e-03	 9.099e-03	 nan	 
1.380e+03	 -1.105e-01	 1.909e-03	 4.780e-03	 8.944e-03	 nan	 
1.396e+03	 -1.086e-01	 1.876e-03	 4.696e-03	 8.787e-03	 nan	 
1.412e+03	 -1.067e-01	 1.844e-03	 4.616e-03	 8.638e-03	 nan	 
1.429e+03	 -1.049e-01	 1.813e-03	 4.539e-03	 8.493e-03	 nan	 
1.445e+03	 -1.031e-01	 1.781e-03	 4.459e-03	 8.344e-03	 nan	 
1.462e+03	 -1.013e-01	 1.751e-03	 4.384e-03	 8.203e-03	 nan	 
1.479e+03	 -9.963e-02	 1.721e-03	 4.310e-03	 8.064e-03	 nan	 
1.496e+03	 -9.790e-02	 1.691e-03	 4.235e-03	 7.924e-03	 nan	 
1.514e+03	 -9.627e-02	 1.663e-03	 4.164e-03	 7.792e-03	 nan	 
1.531e+03	 -9.464e-02	 1.635e-03	 4.094e-03	 7.660e-03	 nan	 
1.549e+03	 -9.301e-02	 1.607e-03	 4.023e-03	 7.529e-03	 nan	 
1.567e+03	 -9.145e-02	 1.580e-03	 3.956e-03	 7.402e-03	 nan	 
1.585e+03	 -8.993e-02	 1.554e-03	 3.890e-03	 7.279e-03	 nan	 
1.603e+03	 -8.836e-02	 1.527e-03	 3.822e-03	 7.152e-03	 nan	 
1.622e+03	 -8.690e-02	 1.501e-03	 3.759e-03	 7.034e-03	 nan	 
1.641e+03	 -8.545e-02	 1.476e-03	 3.696e-03	 6.916e-03	 nan	 
1.660e+03	 -8.397e-02	 1.451e-03	 3.632e-03	 6.797e-03	 nan	 
1.679e+03	 -8.259e-02	 1.427e-03	 3.573e-03	 6.685e-03	 nan	 
1.698e+03	 -8.123e-02	 1.403e-03	 3.514e-03	 6.575e-03	 nan	 
1.718e+03	 -7.984e-02	 1.379e-03	 3.454e-03	 6.462e-03	 nan	 
1.738e+03	 -7.851e-02	 1.357e-03	 3.396e-03	 6.355e-03	 nan	 
1.758e+03	 -7.723e-02	 1.334e-03	 3.341e-03	 6.251e-03	 nan	 
1.778e+03	 -7.591e-02	 1.312e-03	 3.284e-03	 6.144e-03	 nan	 
1.799e+03	 -7.468e-02	 1.290e-03	 3.230e-03	 6.045e-03	 nan	 
1.820e+03	 -7.345e-02	 1.269e-03	 3.177e-03	 5.945e-03	 nan	 
1.841e+03	 -7.220e-02	 1.247e-03	 3.123e-03	 5.844e-03	 nan	 
1.862e+03	 -7.103e-02	 1.227e-03	 3.073e-03	 5.750e-03	 nan	 
1.884e+03	 -6.987e-02	 1.207e-03	 3.022e-03	 5.655e-03	 nan	 
1.906e+03	 -6.869e-02	 1.187e-03	 2.971e-03	 5.559e-03	 nan	 
1.928e+03	 -6.758e-02	 1.168e-03	 2.923e-03	 5.470e-03	 nan	 
1.950e+03	 -6.648e-02	 1.149e-03	 2.876e-03	 5.381e-03	 nan	 
1.972e+03	 -6.537e-02	 1.129e-03	 2.828e-03	 5.291e-03	 nan	 
1.995e+03	 -6.432e-02	 1.111e-03	 2.782e-03	 5.206e-03	 nan	 
2.018e+03	 -6.319e-02	 1.092e-03	 2.733e-03	 5.115e-03	 nan	 
2.042e+03	 -6.211e-02	 1.073e-03	 2.687e-03	 5.027e-03	 nan	 
2.065e+03	 -6.105e-02	 1.055e-03	 2.641e-03	 4.941e-03	 nan	 
2.089e+03	 -5.996e-02	 1.036e-03	 2.594e-03	 4.853e-03	 nan	 
2.114e+03	 -5.894e-02	 1.018e-03	 2.549e-03	 4.770e-03	 nan	 
2.138e+03	 -5.794e-02	 1.001e-03	 2.506e-03	 4.690e-03	 nan	 
2.163e+03	 -5.691e-02	 9.832e-04	 2.462e-03	 4.606e-03	 nan	 
2.188e+03	 -5.594e-02	 9.664e-04	 2.420e-03	 4.528e-03	 nan	 
2.213e+03	 -5.497e-02	 9.498e-04	 2.378e-03	 4.449e-03	 nan	 
2.239e+03	 -5.400e-02	 9.329e-04	 2.336e-03	 4.370e-03	 nan	 
2.265e+03	 -5.308e-02	 9.171e-04	 2.296e-03	 4.297e-03	 nan	 
2.291e+03	 -5.217e-02	 9.014e-04	 2.257e-03	 4.223e-03	 nan	 
2.317e+03	 -5.125e-02	 8.854e-04	 2.217e-03	 4.148e-03	 nan	 
2.344e+03	 -5.037e-02	 8.702e-04	 2.179e-03	 4.077e-03	 nan	 
2.371e+03	 -4.950e-02	 8.552e-04	 2.141e-03	 4.006e-03	 nan	 
