U=1.000 
ngas=6.000e+06 (cm-3) 
mean_lam=1.300 (um) 
gamma=0.700 
amax=2.500 (um) 
dust_composition=astro 
! 
Av= 0.000,14.796,41.154,221.104,10886.093
! 
NH= 0.00000e+00,2.14542e+22,5.96732e+22,3.20601e+23,1.57848e+25
! 
w	 p(Av=0.000)	 p(Av=14.796)	 p(Av=41.154)	 p(Av=221.104)	 p(Av=10886.093)
3.936e-01	 -2.483e+02	 2.573e+00	 3.343e+00	 2.758e+00	 nan	 
3.981e-01	 -2.527e+02	 2.626e+00	 3.416e+00	 2.817e+00	 nan	 
4.027e-01	 -2.553e+02	 2.650e+00	 3.437e+00	 2.830e+00	 nan	 
4.074e-01	 -2.582e+02	 2.679e+00	 3.462e+00	 2.846e+00	 nan	 
4.121e-01	 -2.619e+02	 2.724e+00	 3.526e+00	 2.906e+00	 nan	 
4.169e-01	 -2.661e+02	 2.779e+00	 3.612e+00	 2.976e+00	 nan	 
4.217e-01	 -2.705e+02	 2.833e+00	 3.687e+00	 3.037e+00	 nan	 
4.266e-01	 -2.735e+02	 2.865e+00	 3.721e+00	 3.066e+00	 nan	 
4.315e-01	 -2.764e+02	 2.896e+00	 3.752e+00	 3.093e+00	 nan	 
4.365e-01	 -2.807e+02	 2.950e+00	 3.825e+00	 3.150e+00	 nan	 
4.416e-01	 -2.849e+02	 3.006e+00	 3.911e+00	 3.220e+00	 nan	 
4.467e-01	 -2.891e+02	 3.061e+00	 3.987e+00	 3.282e+00	 nan	 
4.519e-01	 -2.922e+02	 3.096e+00	 4.027e+00	 3.325e+00	 nan	 
4.571e-01	 -2.953e+02	 3.129e+00	 4.054e+00	 3.337e+00	 nan	 
4.624e-01	 -2.995e+02	 3.186e+00	 4.139e+00	 3.410e+00	 nan	 
4.677e-01	 -3.035e+02	 3.240e+00	 4.220e+00	 3.477e+00	 nan	 
4.732e-01	 -3.081e+02	 3.305e+00	 4.316e+00	 3.561e+00	 nan	 
4.786e-01	 -3.108e+02	 3.333e+00	 4.339e+00	 3.580e+00	 nan	 
4.842e-01	 -3.143e+02	 3.377e+00	 4.385e+00	 3.615e+00	 nan	 
4.898e-01	 -3.182e+02	 3.432e+00	 4.465e+00	 3.680e+00	 nan	 
4.954e-01	 -3.225e+02	 3.493e+00	 4.563e+00	 3.769e+00	 nan	 
5.012e-01	 -3.270e+02	 3.557e+00	 4.655e+00	 3.849e+00	 nan	 
5.070e-01	 -3.297e+02	 3.591e+00	 4.686e+00	 3.868e+00	 nan	 
5.129e-01	 -3.328e+02	 3.633e+00	 4.733e+00	 3.905e+00	 nan	 
5.188e-01	 -3.370e+02	 3.694e+00	 4.818e+00	 3.972e+00	 nan	 
5.248e-01	 -3.414e+02	 3.758e+00	 4.924e+00	 4.075e+00	 nan	 
5.309e-01	 -3.457e+02	 3.824e+00	 5.021e+00	 4.160e+00	 nan	 
5.370e-01	 -3.487e+02	 3.864e+00	 5.063e+00	 4.189e+00	 nan	 
5.433e-01	 -3.518e+02	 3.909e+00	 5.116e+00	 4.233e+00	 nan	 
5.495e-01	 -3.555e+02	 3.966e+00	 5.193e+00	 4.294e+00	 nan	 
5.559e-01	 -3.598e+02	 4.033e+00	 5.305e+00	 4.400e+00	 nan	 
5.623e-01	 -3.638e+02	 4.097e+00	 5.403e+00	 4.490e+00	 nan	 
5.688e-01	 -3.663e+02	 4.134e+00	 5.436e+00	 4.508e+00	 nan	 
5.754e-01	 -3.699e+02	 4.190e+00	 5.508e+00	 4.568e+00	 nan	 
5.821e-01	 -3.738e+02	 4.254e+00	 5.602e+00	 4.645e+00	 nan	 
5.888e-01	 -3.775e+02	 4.316e+00	 5.706e+00	 4.747e+00	 nan	 
5.957e-01	 -3.813e+02	 4.380e+00	 5.808e+00	 4.844e+00	 nan	 
6.026e-01	 -3.840e+02	 4.425e+00	 5.855e+00	 4.876e+00	 nan	 
6.095e-01	 -3.869e+02	 4.475e+00	 5.917e+00	 4.922e+00	 nan	 
6.166e-01	 -3.908e+02	 4.543e+00	 6.024e+00	 5.020e+00	 nan	 
